"","ID","BEEP_TIME","DAY","INEG","IPOS","RUM","SAV","SHAREN","SHAREP","PP","PPP","GEN","AGE"
"282",241515814,2020-04-11 14:14:00,2,NA,"1","NA","3",NA,"5","0.46","0.80",1,26
"283",241515814,2020-04-13 15:25:00,3,NA,"1","NA","2",NA,"4","0.46","0.80",1,26
"284",241515814,2020-04-13 19:49:00,3,NA,"1","NA","3",NA,"2","0.46","0.80",1,26
"285",241515814,2020-04-14 19:57:00,4,NA,"1","NA","3",NA,"4","0.46","0.80",1,26
"286",241515814,2020-04-10 19:19:00,1,NA,"2","NA","3",NA,"3","0.46","0.80",1,26
"287",241515814,2020-04-10 20:14:00,1,NA,"2","NA","3",NA,"4","0.46","0.80",1,26
"288",241515814,2020-04-11 11:26:00,2,NA,"2","NA","3",NA,"1","0.46","0.80",1,26
"289",241515814,2020-04-11 16:49:00,2,NA,"2","NA","5",NA,"5","0.46","0.80",1,26
"290",241515814,2020-04-13 07:39:00,3,NA,"2","NA","3",NA,"1","0.46","0.80",1,26
"291",241515814,2020-04-13 09:13:00,3,NA,"2","NA","4",NA,"1","0.46","0.80",1,26
"292",241515814,2020-04-13 19:15:00,3,NA,"2","NA","3",NA,"3","0.46","0.80",1,26
"293",241515814,2020-04-14 10:42:00,4,NA,"2","NA","2",NA,"3","0.46","0.80",1,26
"294",241515814,2020-04-14 16:54:00,4,NA,"2","NA","2",NA,"3","0.46","0.80",1,26
"295",607385328,2020-04-10 21:22:00,1,NA,"1","NA","0",NA,"0","0.6","1.62",2,28
"296",607385328,2020-04-11 12:48:00,2,NA,"1","NA","0",NA,"0","0.6","1.62",2,28
"297",607385328,2020-04-13 12:01:00,3,NA,"1","NA","0",NA,"0","0.6","1.62",2,28
"298",37854994,2020-04-10 20:44:00,1,NA,"1","NA","0",NA,"0","0.65","0.80",2,25
"299",37854994,2020-04-11 15:39:00,2,NA,"1","NA","0",NA,"0","0.65","0.80",2,25
"300",37854994,2020-04-13 10:10:00,3,NA,"1","NA","0",NA,"0","0.65","0.80",2,25
"301",37854994,2020-04-13 18:32:00,3,NA,"1","NA","0",NA,"0","0.65","0.80",2,25
